	Row	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	Correct First Attempt	Incorrects	Hints	Corrects	KC(Default)	Opportunity(Default)
252665	337831	1kKxS8urAH	Unit ES_02, Section ES_02-8	EG41	1	yR2	2005-10-03 08:04:30.0	2005-10-03 08:04:35.0	2005-10-03 08:04:35.0	2005-10-03 08:04:35.0	5.0	5.0		1	0	0	1		
12787	17422	5ey2xUDZTA	Unit QuadLinearFuncTrans, Section QLFuncTrans1	TRANSFORMV002	1	TransformButton-k	2006-03-29 12:49:52.0	2006-03-29 12:49:54.0	2006-03-29 12:49:54.0	2006-03-29 12:49:54.0	1.0	1.0		1	0	0	1		
539201	718353	45TTYcotWk	Unit CTA1_10, Section CTA1_10-4	DISTFB07_SP	3	R6C1	2006-03-07 09:44:47.0	2006-03-07 09:44:51.0	2006-03-07 09:44:51.0	2006-03-07 09:44:51.0	4.0	4.0		1	0	0	1	Using small numbers~~Find X, positive slope~~Using difficult numbers	286~~88~~166
348851	465764	0U9x5pNv8t	Unit CTA1_10, Section CTA1_10-2	DIST03_SP	1	R5C1	2005-10-31 09:56:21.0	2005-10-31 09:56:26.0	2005-10-31 09:56:26.0	2005-10-31 09:56:26.0	5.0	5.0		1	0	0	1	Entering a given	372
526184	701366	1bJbgQ32E3	Unit CTA1_15, Section CTA1_15-2	SYSFB09	1	R4C1	2006-03-22 14:17:57.0	2006-03-22 14:18:09.0	2006-03-22 14:18:09.0	2006-03-22 14:18:09.0	12.0	12.0		1	0	0	1	Using difficult numbers~~Using small numbers~~Find X, positive slope	218~~393~~138
267418	357177	81E41tTtV9	Unit CTA1_06, Section CTA1_06-2	L6FB08	2	YLabel	2005-11-21 09:22:24.0	2005-11-21 09:22:39.0	2005-11-21 09:22:39.0	2005-11-21 09:22:39.0	15.0	15.0		1	0	0	1	Labelling the axes	44
51008	70053	0jSb6S70X1	Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1	EG-S-FACTOR22	1	(3+sqrt(9-4*1*-1))/2 = x	2006-04-05 14:12:05.0	2006-04-05 14:12:09.0	2006-04-05 14:12:09.0	2006-04-05 14:12:09.0	4.0	4.0		1	0	0	1		
233240	311804	y5009rpZ12	Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1	EG-S-FACTOR24	1	(-1-sqrt(1*1-4*1*-18))/(2*1) = x	2006-04-10 09:43:24.0	2006-04-10 09:43:43.0	2006-04-10 09:43:43.0	2006-04-10 09:43:43.0	19.0	19.0		1	0	0	1		
499660	665688	Ru21xRreim	Unit ES_04, Section ES_04-12	EG58A	1	6 = -35(16y-31)+49y	2005-12-21 11:09:58.0	2005-12-21 11:10:07.0	2005-12-21 11:10:07.0	2005-12-21 11:13:29.0	138.0	138.0		1	0	0	2	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	61
445554	594179	nxe3l4KD0z	Unit CTA1_06, Section CTA1_06-4	BH1T48	1	YLabel	2006-05-18 13:18:06.0	2006-05-18 13:18:16.0	2006-05-18 13:18:16.0	2006-05-18 13:18:16.0	10.0	10.0		1	0	0	1	Labelling the axes	42
557094	742550	Dmq6441349	Unit ES_03, Section ES_03-1	EG46	1	-9 = -9y+8	2005-11-03 10:06:31.0	2005-11-03 10:06:36.0	2005-11-03 10:06:36.0	2005-11-03 10:06:36.0	5.0	5.0		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	98
177395	237262	EV28POlwE4	Unit CTA1_02, Section CTA1_02-2	BH1T21	1	R5C1	2005-10-07 08:53:18.0	2005-10-07 08:53:30.0	2005-10-07 08:56:02.0	2005-10-07 08:56:02.0	164.0		164.0	0	1	0	1	Entering a given~~Convert unit, standard	82~~14
12933	17568	5ey2xUDZTA	Unit QuadLinearFuncTrans, Section QLFuncTrans4	TRANSFORMG019	1	GRAPHICAL-TRANSFORMATIONS-a	2006-03-31 12:50:57.0	2006-03-31 12:51:09.0	2006-03-31 12:51:30.0	2006-03-31 12:51:30.0	33.0		33.0	0	1	5	1	Choose Graphical a	5
354013	472299	12M70dm49w	Unit CTA1_08, Section CTA1_08-3	L5FB02	1	R3C1	2005-12-20 13:56:21.0	2005-12-20 13:56:23.0	2005-12-20 13:56:23.0	2005-12-20 13:56:23.0	2.0	2.0		1	0	0	1	Define Variable	104
242276	323043	z1iLCTB32T	Unit ES_04, Section ES_04-2	EG40	2	constant terms2R1	2006-03-13 09:42:45.0	2006-03-13 09:42:48.0	2006-03-13 09:42:48.0	2006-03-13 09:42:48.0	3.0	3.0		1	0	0	1		
180225	240736	EV28POlwE4	Unit CTA1_12, Section CTA1_12-2	SYS03	4	YLabel	2006-04-07 09:55:43.0	2006-04-07 09:56:06.0	2006-04-07 09:56:06.0	2006-04-07 09:56:06.0	23.0	23.0		1	0	0	1	Labelling the axes	118
129864	173338	39Uc7ru04l	Unit CTA1_08, Section CTA1_08-2	JAN01	1	R3C1	2006-03-09 11:10:54.0	2006-03-09 11:10:58.0	2006-03-09 11:10:58.0	2006-03-09 11:10:58.0	4.0	4.0		1	0	0	1	Define Variable	101
612258	816160	B7l5Zfxxu6	Unit ES_05, Section ES_05-8	EG61	6	3.56830601y = 0.54644809(1.83y-18.07)	2006-04-20 08:57:06.0	2006-04-20 08:57:42.0	2006-04-20 08:57:56.0	2006-04-20 08:57:56.0	50.0		50.0	0	1	2	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	15
40246	54610	Ugr5eIIEf0	Unit QuadLinearFuncTrans, Section QLFuncTrans4	TRANSFORMG013	1	TransformButton-refl-v	2005-11-17 11:32:20.0	2005-11-17 11:32:21.0	2005-11-17 11:32:21.0	2005-11-17 11:32:21.0	0.5	0.5		1	0	0	1		
681420	909557	6d2wZ1x370	Unit CTA1_06, Section CTA1_06-4	BH1T48	1	Point 1.2	2006-04-03 13:37:27.0	2006-04-03 13:38:27.0		2006-04-03 13:39:15.0	108.0		108.0	0	0	4	0	Correctly placing points	2
228557	305414	y4Vg256UzB	Unit CTA1_13, Section CTA1_13-1	PROP12	1	R1C1	2006-04-12 09:39:40.0	2006-04-12 09:40:00.0	2006-04-12 09:40:00.0	2006-04-12 09:40:00.0	20.0	20.0		1	0	0	1		
313966	419780	i8f2gg51r5	Unit ES_05, Section ES_05-2	EG42A	1	-2.14X = 6.37	2005-10-12 11:36:35.0	2005-10-12 11:36:42.0	2005-10-12 11:36:42.0	2005-10-12 11:36:42.0	7.0	7.0		1	0	0	1	[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]	428~~105
774895	1033910	uz40H610bF	Unit ES_07, Section ES_07-1	LIT53	1	u*(8-y)/(8-y) = (w*s+g*y)/(8-y)	2006-05-05 09:07:09.0	2006-05-05 09:07:13.0	2006-05-05 09:07:13.0	2006-05-05 09:07:13.0	4.0	4.0		1	0	0	1		
414172	552085	XL0eQIoG72	Unit ES_07, Section ES_07-1	LIT49	1	n*(3-w) = w	2005-12-15 12:19:05.0	2005-12-15 12:19:15.0	2005-12-15 12:19:15.0	2005-12-15 12:19:15.0	10.0	10.0		1	0	0	1	[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	333
540165	719947	4X3016rdOZ	Unit CTA1_01, Section CTA1_01-2	BH1T22C	1	R4C2	2005-09-01 09:57:33.0	2005-09-01 09:57:54.0	2005-09-01 09:57:54.0	2005-09-01 09:57:54.0	21.0	21.0		1	0	0	1	Find Y, Simple~~Using simple numbers~~Using small numbers	4~~5~~5
80003	106881	9493h91NUB	Unit CTA1_10, Section CTA1_10-1	LDEMO_DIST_SP	1	R1C2	2005-09-09 13:58:55.0	2005-09-09 13:58:57.0	2005-09-09 13:59:01.0	2005-09-09 13:59:01.0	6.0		6.0	0	1	0	1		
594588	792789	USdRVl9AOe	Unit CTA1_04, Section CTA1_04-2	PERCENT05A	1	R5C1	2005-10-20 10:19:28.0	2005-10-20 10:19:38.0	2005-10-20 10:19:38.0	2005-10-20 10:19:38.0	10.0	10.0		1	0	0	1	Entering a given	136
450613	600270	s19Mo891H5	Unit CTA1_14, Section CTA1_14-2	IPCBASEBALL	1	R4C1	2006-05-02 12:55:42.0	2006-05-02 12:55:48.0	2006-05-02 12:55:48.0	2006-05-02 12:55:48.0	6.0	6.0		1	0	0	1	Entering a given	518
184827	247534	h0UbH181l8	Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-1	YGTX-7	1	Formula 1 Coeff 1	2006-04-07 10:02:59.0	2006-04-07 10:03:05.0		2006-04-07 10:05:01.0	92.0		92.0	0	7	4	0	Placing coordinate point	2
585060	779965	QS4cvQ8w0o	Unit CTA1_14, Section CTA1_14-2	1PTFB11	1	R4C1	2006-04-20 08:50:19.0	2006-04-20 08:50:27.0	2006-04-20 08:50:48.0	2006-04-20 08:50:48.0	20.0		20.0	0	1	0	1	Entering a given~~Convert unit, standard	449~~31
148551	198570	Fx8d98DRud	Unit ES_01, Section ES_01-9	EG26	1	0 = Y/-8*-8	2005-11-04 08:36:28.0	2005-11-04 08:36:36.0	2005-11-04 08:36:36.0	2005-11-04 08:36:59.0	31.0	31.0		1	0	2	2		
690923	921975	e5Ef9RFIF0	Unit EXPT-PRODUCT-SIMP-A_ES, Section EXPT-PRODUCT-SIMPLIFYING-A_ES-1	EG-EPS06	2	(x^3)(x^4)	2006-03-23 12:12:55.0	2006-03-23 12:13:00.0	2006-03-23 12:13:00.0	2006-03-23 12:13:00.0	5.0	5.0		1	0	0	1		
59234	79842	668lBbaKFE	Unit CTA1_02, Section CTA1_02-4	BH1T29	1	yMin	2005-10-14 14:10:24.0	2005-10-14 14:12:08.0	2005-10-14 14:12:08.0	2005-10-14 14:12:08.0	52.0	52.0		1	0	0	1	Changing axis bounds	58
292222	389892	dvG32rxRzQ	Unit CTA1_06, Section CTA1_06-4	JAN09	1	R3C1	2005-10-03 07:54:55.0	2005-10-03 07:54:59.0	2005-10-03 07:54:59.0	2005-10-03 07:54:59.0	4.0	4.0		1	0	0	1	Define Variable	71
207424	277548	stK4H8Vit6	Unit ES_05, Section ES_05-3	EG59A	1	384 = 275+60/x	2006-05-19 08:44:57.0	2006-05-19 08:45:10.0	2006-05-19 08:45:10.0	2006-05-19 08:45:10.0	13.0	13.0		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	392
557542	743142	Dmq6441349	Unit ES_04, Section ES_04-2	EG40	2	-2-9x = -3	2005-12-08 10:02:45.0	2005-12-08 10:02:55.0	2005-12-08 10:02:55.0	2005-12-08 10:02:55.0	10.0	10.0		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]	133~~46
156108	208501	LM96hW22T2	Unit ES_03, Section ES_03-1	EG47A	1	(29/7)/-7 = (-7x/7)/-7	2006-02-17 08:37:49.0	2006-02-17 08:37:56.0	2006-02-17 08:37:56.0	2006-02-17 08:37:56.0	7.0	7.0		1	0	0	1		
320	321	0BrbPbwCMz	Unit ES_04, Section ES_04-14	LIT28A	2	(j/c+2)*c = a*c	2005-09-30 12:14:57.0	2005-09-30 12:15:06.0	2005-09-30 12:15:29.0	2005-09-30 12:17:40.0	145.0		145.0	0	4	4	4	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]	50~~27
256977	343177	1kKxS8urAH	Unit CTA1_15, Section CTA1_15-2	SYS05	1	R1C1	2006-04-04 15:19:36.0	2006-04-04 15:19:55.0	2006-04-04 15:19:55.0	2006-04-04 15:19:55.0	19.0	19.0		1	0	0	1		
776040	1035415	wwSQeRjs22	Unit CTA1_08, Section CTA1_08-2	FEB09	1	Intercept Field 1	2006-04-12 08:48:27.0	2006-04-12 08:49:04.0	2006-04-12 08:49:07.0	2006-04-12 08:49:07.0	40.0		40.0	0	1	0	1	Entering the y-intercept	10
102212	137320	3hSu07XfGd	Unit CTA1_10, Section CTA1_10-4	DISTFB07_SP	1	R1C1	2005-12-14 08:48:10.0	2005-12-14 08:48:35.0	2005-12-14 08:48:35.0	2005-12-14 08:48:35.0	25.0	25.0		1	0	0	1		
210143	281292	t4K5z0e2NZ	Unit ES_07, Section ES_07-2	LIT49A	1	FinalAnswer	2006-02-13 09:45:02.0	2006-02-13 09:46:01.0	2006-02-13 09:46:01.0	2006-02-13 09:46:01.0	59.0	59.0		1	0	0	1	factor-sp	4
739392	986989	694Y3fju01	Unit CTA1_14, Section CTA1_14-2	1PTFB13	1	R3C1	2006-04-20 09:35:36.0	2006-04-20 09:35:37.0	2006-04-20 09:35:37.0	2006-04-20 09:35:37.0	1.0	1.0		1	0	0	1	Define Variable	45
264089	353019	56dTCKdr74	Unit CTA1_06, Section CTA1_06-2	FEB05	1	R4C1	2005-10-17 08:17:38.0	2005-10-17 08:17:43.0	2005-10-17 08:17:43.0	2005-10-17 08:17:43.0	5.0	5.0		1	0	0	1	Using small numbers~~Find X, negative slope~~Using difficult numbers	118~~10~~47
520735	693519	11fnXrq9Jf	Unit CTA1_14, Section CTA1_14-1	LDEMO_PTY	1	R6C2	2006-03-03 10:15:10.0	2006-03-03 10:15:17.0	2006-03-03 10:15:17.0	2006-03-03 10:15:17.0	7.0	7.0		1	0	0	1	Entering a given	499
365857	488426	5a5qA8VLfI	Unit ES_02, Section ES_02-6	EG40	3	17 = -1Y/-1	2005-10-17 09:48:47.0	2005-10-17 09:48:56.0	2005-10-17 09:48:56.0	2005-10-17 09:48:56.0	9.0	9.0		1	0	0	1		
159407	213398	oEt3YTvS4G	Unit CTA1_04, Section CTA1_04-2	BH1T31B	2	R7C2	2005-11-30 08:36:49.0	2005-11-30 08:37:08.0	2005-11-30 08:37:08.0	2005-11-30 08:37:08.0	19.0	19.0		1	0	0	1	Entering a given	119
156991	209468	LM96hW22T2	Unit CTA1_08, Section CTA1_08-3	PERCENT12	1	R3C2	2006-03-06 14:00:20.0	2006-03-06 14:00:25.0	2006-03-06 14:00:45.0	2006-03-06 14:00:45.0	25.0		25.0	0	0	5	1	Using small numbers~~Write expression, positive slope~~Using difficult numbers	256~~94~~132
551982	736010	9EAa0nJjb1	Unit CTA1_04, Section CTA1_04-3	L2FB15A	1	R1C2	2005-10-25 09:47:07.0	2005-10-25 09:48:11.0	2005-10-25 09:48:11.0	2005-10-25 09:48:11.0	64.0	64.0		1	0	0	1		
61811	82958	668lBbaKFE	Unit ES_04, Section ES_04-12	EG58	3	-79x-45+45 = -6+45	2006-03-29 14:09:18.0	2006-03-29 14:09:23.0	2006-03-29 14:09:28.0	2006-03-29 14:09:40.0	22.0		22.0	0	1	0	2	[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]	76
417754	556822	XL0eQIoG72	Unit CTA1_24, Section CTA1_24-1	L3REAL21	1	R2C1	2006-05-18 13:48:50.0	2006-05-18 13:49:30.0	2006-05-18 13:49:30.0	2006-05-18 13:49:30.0	40.0	40.0		1	0	0	1	Identifying units	423
337307	450593	XTXYl6nJ7J	Unit ES_02, Section ES_02-7	EG41	5	11 = y/-3-7-(-7)	2006-02-08 09:47:38.0	2006-02-08 09:47:40.0	2006-02-08 09:47:40.0	2006-02-08 09:47:40.0	2.0	2.0		1	0	0	1	[SkillRule: Consolidate vars with coeff; CLT]	85
450625	600282	s19Mo891H5	Unit CTA1_14, Section CTA1_14-2	1PTFB14	1	R3C2	2006-05-02 12:58:07.0	2006-05-02 12:58:40.0	2006-05-02 12:59:12.0	2006-05-02 12:59:12.0	65.0		65.0	0	1	4	1	Using simple numbers~~Using small numbers~~Write expression, initial and point	346~~348~~4
607308	809528	Kt1mv62gCP	Unit ES_03, Section ES_03-2	EG47A	1	row3-N-constant factors	2006-02-22 13:49:12.0	2006-02-22 13:49:16.0	2006-02-22 13:49:16.0	2006-02-22 13:49:16.0	2.0	2.0		1	0	0	1		
322525	431447	l5eh0S53tB	Unit ES_04, Section ES_04-2	EG40	1	10y/10 = -8/10	2005-10-24 11:19:07.0	2005-10-24 11:19:12.0	2005-10-24 11:19:12.0	2005-10-24 11:19:47.0	40.0	40.0		1	0	0	2	[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]	87
